"","countrycode","year","gdppc","scenario"
"11410","SYR",1973,2062.915349,"Observed"
"11411","SYR",1974,2369.227224,"Observed"
"11412","SYR",1975,2753.678103,"Observed"
"11413","SYR",1976,2928.424265,"Observed"
"11414","SYR",1977,2652.322653,"Observed"
"11415","SYR",1978,2856.15756,"Observed"
"11416","SYR",1979,2860.253805,"Observed"
"11417","SYR",1980,3105.349575,"Observed"
"11418","SYR",1981,3332.347183,"Observed"
"11419","SYR",1982,3342.888384,"Observed"
"11420","SYR",1983,3278.169448,"Observed"
"11421","SYR",1984,3019.176067,"Observed"
"11422","SYR",1985,3030.375823,"Observed"
"11423","SYR",1986,2799.569719,"Observed"
"11424","SYR",1987,2761.007161,"Observed"
"11425","SYR",1988,3084.689836,"Observed"
"11426","SYR",1989,2548.419276,"Observed"
"11427","SYR",1990,2579.587686,"Observed"
"11428","SYR",1991,2706.994218,"Observed"
"11429","SYR",1992,2915.053639,"Observed"
"11430","SYR",1993,2993.545499,"Observed"
"11431","SYR",1994,3148.987571,"Observed"
"11432","SYR",1995,3274.631156,"Observed"
"11433","SYR",1996,3519.923652,"Observed"
"11434","SYR",1997,3646.484497,"Observed"
"11435","SYR",1998,3764.542783,"Observed"
"11436","SYR",1999,3596.764401,"Observed"
"11437","SYR",2000,3488.319918,"Observed"
"11438","SYR",2001,3601.663125,"Observed"
"11439","SYR",2002,3730.53033,"Observed"
"11440","SYR",2003,3536.981905,"Observed"
"11441","SYR",2004,3766.153608,"Observed"
"11442","SYR",2005,3849.973504,"Observed"
"11443","SYR",2006,4008.569119,"Observed"
"11444","SYR",2007,3955.620645,"Observed"
"11445","SYR",2008,3915.619637,"Observed"
"11446","SYR",2009,3995.090757,"Observed"
"11447","SYR",2010,3995.084462,"Observed"
"11448","SYR",2011,4140.2890955,"Observed"
"11449","SYR",2012,4285.493729,"Observed"
"11450","SYR",2013,4430.6983625,"Observed"
"11451","SYR",2014,4575.902996,"Observed"
"11452","SYR",2015,4721.1076295,"Observed"
"11453","SYR",2016,4866.312263,"Observed"
"11454","SYR",2017,5011.5168965,"Observed"
"11455","SYR",2018,5156.72153,"Observed"
"11456","SYR",2019,5301.9261635,"Observed"
"11457","SYR",2020,5447.130797,"Observed"
"11458","TCD",1950,NA,"Observed"
"11459","TCD",1951,NA,"Observed"
"11460","TCD",1952,NA,"Observed"
"11461","TCD",1953,NA,"Observed"
"11462","TCD",1954,NA,"Observed"
"11463","TCD",1955,NA,"Observed"
"11464","TCD",1956,NA,"Observed"
"11465","TCD",1957,NA,"Observed"
"11466","TCD",1958,NA,"Observed"
"11467","TCD",1959,NA,"Observed"
"11468","TCD",1960,833.9205621,"Observed"
"11469","TCD",1961,834.1740617,"Observed"
"11470","TCD",1962,906.9438836,"Observed"
"11471","TCD",1963,851.1760507,"Observed"
"11472","TCD",1964,835.2680817,"Observed"
"11473","TCD",1965,845.6434225,"Observed"
"11474","TCD",1966,829.5624751,"Observed"
"11475","TCD",1967,835.4540114,"Observed"
"11476","TCD",1968,829.9336205,"Observed"
"11477","TCD",1969,870.732372,"Observed"
"11478","TCD",1970,911.3774915,"Observed"
"11479","TCD",1971,908.0920523,"Observed"
"11480","TCD",1972,826.7830061,"Observed"
"11481","TCD",1973,774.9478933,"Observed"
"11482","TCD",1974,840.2138751,"Observed"
"11483","TCD",1975,939.3184222,"Observed"
"11484","TCD",1976,906.1358621,"Observed"
"11485","TCD",1977,833.8918868,"Observed"
"11486","TCD",1978,811.9166665,"Observed"
"11487","TCD",1979,623.6869539,"Observed"
"11488","TCD",1980,586.2211009,"Observed"
"11489","TCD",1981,593.1275557,"Observed"
"11490","TCD",1982,596.2285546,"Observed"
"11491","TCD",1983,656.5091408,"Observed"
"11492","TCD",1984,663.1089079,"Observed"
"11493","TCD",1985,801.824053,"Observed"
"11494","TCD",1986,746.869341,"Observed"
"11495","TCD",1987,705.3487322,"Observed"
"11496","TCD",1988,788.7874974,"Observed"
"11497","TCD",1989,799.3530621,"Observed"
"11498","TCD",1990,752.0718734,"Observed"
"11499","TCD",1991,788.4830918,"Observed"
"11500","TCD",1992,815.9020967,"Observed"
"11501","TCD",1993,801.6884517,"Observed"
"11502","TCD",1994,812.4089309,"Observed"
