"","countrycode","sptemp","cdd","cddeq","clim.max"
"414","LAO","22",933,2023.05666489028,0.978408648623667
"415","LBN","22",179,558.355344028823,0.665952130261945
"416","LBR","22",1265,2596.11332139284,0.992605940647452
"417","LKA","22",1463,2876.4552637887,0.995622676540371
"418","LSO","22",25,142.765207287303,0.27335513746238
"419","LTU","22",4,84.7876428640834,0.190144443501541
"420","LUX","22",17,120.682377812484,0.242720237829317
"421","LVA","22",0,0,0.051
"422","MAR","22",263,767.527116492949,0.774090813071448
"423","MDA","22",71,269.374761570241,0.426545844959473
"424","MDG","22",425,1122.95201259294,0.883779582953757
"425","MDV","22",2099,3493.16479176194,0.998618471302308
"426","MEX","22",388,1046.87418221702,0.866011486267312
"427","MKD","22",31,159.321080115543,0.295507011532971
"428","MLI","22",2281,3683.50099513239,0.999032207972379
"429","MMR","22",1347,2722.85230605136,0.994166162679706
"430","MNE","22",17,120.682377812484,0.242720237829317
"431","MNG","22",5,87.5489641813872,0.194315492811372
"432","MOZ","22",858,1896.20751242871,0.972628543129598
"433","MRT","22",2311,3713.48101002912,0.999084972070514
"434","MUS","22",778,1761.79982961852,0.96480714365642
"435","MWI","22",623,1495.2878602554,0.94207086229184
"436","MYS","22",1318,2679.55741983397,0.993674200539644
"437","NAM","22",579,1416.50689022968,0.932876049756217
"438","NER","22",2298,3700.53785042586,0.999062554805163
"439","NGA","22",1684,3092.17660106165,0.99707574848794
"440","NIC","22",1113,2336.57730226615,0.987986761580032
"441","NLD","22",5,87.5489641813872,0.194315492811372
"442","NOR","22",0,0,0.051
"443","NPL","22",617,1484.64843846511,0.940906778719968
"444","NZL","22",4,84.7876428640834,0.190144443501541
"445","OMN","22",1193,2475.79111992419,0.990740228203465
"446","PAK","22",1117,2343.60562885122,0.98814361818199
"447","PAN","22",1164,2425.75983503754,0.989832077548981
"448","PER","22",389,1048.96569716708,0.866534509685392
"449","PHL","22",1343,2716.98952636374,0.994101852112186
"450","PNG","22",910,1983.95223501599,0.976770613906251
"451","POL","22",17,120.682377812484,0.242720237829317
"452","PRI","22",986,2114.09650850759,0.981788589872971
"453","PRT","22",106,364.763199783747,0.520232498340076
"454","PRY","22",717,1658.4694374134,0.957305463951778
"455","PSE","22",383,1036.38578866245,0.863357589133878
"456","QAT","22",1816,3205.78170370231,0.997635428048152
"457","ROU","22",56,228.192919543543,0.380639162479681
"458","RUS","22",42,189.651693698372,0.334352579710895
"459","RWA","22",103,356.636046429425,0.512885410661885
"460","SAU","22",1232,2541.79420856874,0.991815405820547
"461","SDN","22",2263,3665.31795823131,0.998998734983824
"462","SEN","22",1653,3065.62770388356,0.996926905629182
"463","SLB","22",1285,2628.20161961825,0.993036572779247
"464","SLE","22",1534,2954.71553244173,0.996218613456042
"465","SLV","22",1000,2138.37816652438,0.982597017019128
"466","SRB","22",58,233.691434124428,0.386974939519941
"467","SSD","22",2158,3556.2477539717,0.99877219809854
"468","SUR","22",1732,3132.82731555838,0.997289801936141
"469","SVK","22",18,123.443111422177,0.246619674789734
"470","SVN","22",23,137.245241440151,0.26581561916493
"471","SWE","22",0,0,0.051
"472","SWZ","22",401,1073.90660833142,0.872616344639996
"473","TCD","22",2007,3394.41796273441,0.998338289973984
"474","TGO","22",1833,3221.17649308298,0.997702529450781
"475","THA","22",1712,3115.89469346926,0.997202613126882
"476","TJK","22",215,650.041447809356,0.718584762755025
"477","TKM","22",503,1275.62671502568,0.912644426461396
"478","TLS","22",1134,2373.42766916783,0.988786717005119
"479","TTO","22",1556,2976.81413474556,0.996371692207804
"480","TUN","22",459,1190.67368678653,0.897603861255714
"481","TUR","22",129,426.686343526706,0.572691883972596
"482","TZA","22",630,1507.66199166131,0.943395930936673
"483","UGA","22",632,1511.18999439115,0.943768139498774
"484","UKR","22",57,230.942439038429,0.383815496344428
"485","URY","22",200,612.1898243736,0.697943578213856
"486","USA","22",264,769.913553691238,0.775096717731013
"487","UZB","22",358,983.148964547994,0.84905429012637
"488","VCT","22",1893,3277.73401840829,0.997933107680688
"489","VNM","22",1279,2618.64687922504,0.992911036525367
"490","VUT","22",883,1938.30022523417,0.974700430559616
"491","WSM","22",1796,3187.9887794774,0.997555428673459
"492","YEM","22",542,1348.75781767496,0.923809888833159
"493","ZAF","22",249,733.85201647521,0.759407284232606
"494","ZMB","22",565,1391.0454415808,0.929602776543081
"495","ZWE","22",454,1180.83568173944,0.895702637531078
"496","AFG","24",149,900.119601830653,0.823700343117761
"497","AGO","24",291,1466.73054730802,0.938893229197028
"498","ALB","24",43,369.507342965652,0.524469954450764
"499","ARE","24",995,3060.86210305216,0.996899396822651
"500","ARG","24",156,932.774222284521,0.834143824038205
"501","ARM","24",14,218.371468595646,0.369158809151665
"502","AUS","24",103,676.646898680253,0.732243202075893
"503","AUT","24",6,176.610054729159,0.31791928842001
"504","AZE","24",125,785.288139115266,0.781470726920847
"505","BDI","24",148,895.422005223816,0.822144815517449
"506","BEL","24",1,150.506384277941,0.283798279366219
"507","BEN","24",1365,3416.91724504122,0.99840675383149
"508","BFA","24",1547,3556.19490074018,0.998772076742075
"509","BGD","24",687,2407.12654969445,0.989471539115149
"510","BGR","24",25,275.765648040102,0.433358382053742
"511","BHS","24",572,2139.02815283419,0.982618157049229
"512","BIH","24",9,192.271598979529,0.337605759246765
"513","BLR","24",1,150.506384277941,0.283798279366219
"514","BLZ","24",643,2301.49642211714,0.987172253896704
"515","BOL","24",361,1669.57432029368,0.958182922042799
"516","BRA","24",406,1779.87180948185,0.965976600282602
"517","BRN","24",958,3001.30502984785,0.996534113677733
"518","BTN","24",240,1288.11153735134,0.9146602606277
"519","BWA","24",373,1700.25766891028,0.960514758951309
"520","CAF","24",537,2062.80321556018,0.979955259793184
